Division,Calendar_Week,Paid_Views,Organic_Views,Google_Impressions,Email_Impressions,Facebook_Impressions,Affiliate_Impressions,Overall_Views,Sales
K,4/27/2021,7486,6360,534745,692075.2656,164524,11997,13646,82849
L,4/7/2021,368,96,302134,1073911.567,178641,18328,410,148997
L,4/14/2021,309,611,487973,1301001.175,110923,16349,858,138712
L,4/21/2021,882,260,463719,1056049.723,72939,25887,82,191017
L,4/28/2021,934,946,515423,1213206.891,51494,22520,22,149751
L,4/6/2021,4586,16882,905317,934454.2168,122368,19820,21294,152081
L,4/13/2021,5176,15784,1127817,906464.6183,201212,18841,19774,150355
L,4/20/2021,8615,16454,1179085,985341.7632,279480,18459,24836,202288
L,4/27/2021,12718,12768,967712,1143683.091,229841,20808,25151,217671
M,4/7/2021,806,721,150399,555450.241,99379,21574,277,55473
M,4/14/2021,98,714,244881,673068.6264,56753,21335,1000,61442
M,4/21/2021,788,869,251511,546505.2951,39714,26976,86,63811
M,4/28/2021,867,825,256081,627269.9819,24084,19041,887,66307
M,4/6/2021,4184,10239,560978,483361.7986,53940,17953,13883,69819
M,4/13/2021,4572,10500,698879,468432.4847,100377,17295,14391,65999
M,4/20/2021,8691,10364,598858,509005.7209,149788,15180,18689,72996
M,4/27/2021,10716,7714,483265,591845.4719,134628,14964,17753,74281
N,4/7/2021,405,131,11,968897.467,128187,34349,610,120918
N,4/14/2021,737,276,847,1173526.401,79474,34969,315,141504
N,4/21/2021,385,478,290,953145.3607,66765,46765,259,168218
N,4/28/2021,788,960,346,1094381.367,42451,34487,652,145663
N,4/6/2021,3930,10912,564,842380.4202,91578,24764,13867,138652
N,4/13/2021,4907,9289,67,817810.0014,184987,30916,13453,142113
N,4/20/2021,7220,10492,378,888523.3626,240869,21160,17774,179878
N,4/27/2021,10354,7990,747,1031824.838,199645,22831,18225,171109
O,4/7/2021,727,761,613137,1725799.171,318202,46846,99,195571
O,4/14/2021,350,469,1062374,2089284.165,162488,48532,146,230955
O,4/21/2021,642,460,993607,1696046.395,117682,58661,872,257929
O,4/28/2021,913,558,1066129,1949057.234,72496,43134,854,235010
O,4/6/2021,8913,20991,1894855,1500184.896,175446,37288,29542,256543
O,4/13/2021,10489,19570,2743885,1456227.591,333981,42107,29768,247087
O,4/20/2021,16662,21779,2625498,1581535.536,420634,32358,38110,303692
O,4/27/2021,23663,17913,2150833,1836685.811,333040,34770,40359,342947
P,4/7/2021,576,678,204713,699055.3157,87602,27380,672,73585
P,4/14/2021,209,400,355497,846837.4449,63269,27405,821,79120
P,4/21/2021,733,31,326710,686825.8804,45759,32343,887,91111
P,4/28/2021,47,96,356628,789341.9878,28457,24609,795,83443
P,4/6/2021,1078,6237,607165,608404.1139,57326,16596,7324,87756
P,4/13/2021,1745,5509,905382,589875.164,115144,16950,6229,81797
P,4/20/2021,2741,6455,906321,641187.2819,158645,13941,7913,98594
P,4/27/2021,3076,4938,719671,743912.6352,141137,15596,7253,106718
Q,4/7/2021,581,363,228222,774525.4048,130158,29817,150,76846
Q,4/14/2021,980,146,392324,937136.7851,93592,29848,909,96365
Q,4/21/2021,714,145,372988,761014.1956,67305,34580,849,100277
Q,4/28/2021,328,594,377619,874357.5529,43128,24262,532,95907
Q,4/6/2021,2851,10157,690701,673301.5582,89564,22225,12328,113044
Q,4/13/2021,3185,9182,981105,653955.6911,171948,22320,12286,101756
Q,4/20/2021,5413,9602,951479,709746.4894,250250,18740,14948,130237
Q,4/27/2021,7339,7148,777313,824403.9078,234412,19661,14306,122301
R,4/7/2021,415,606,81354,237504.5399,38402,4827,169,38844
R,4/14/2021,240,940,125931,287435.8704,20844,5683,441,52234
R,4/21/2021,912,960,115807,233831.7584,13088,6051,919,73824
R,4/28/2021,913,169,132983,268365.3908,9365,4978,43,66539
R,4/6/2021,1323,3781,253470,207175.3191,25289,4924,4379,43412
R,4/13/2021,1630,3444,303121,200788.4068,39882,4968,4361,51873
R,4/20/2021,1486,3601,307234,217860.7821,55787,4183,5464,57532
R,4/27/2021,2647,2999,244559,252964.6924,47729,4258,5049,66445
S,4/7/2021,270,231,318172,1065264.382,190152,47158,341,153569
S,4/14/2021,421,481,570143,1289240.942,139472,48298,883,122676
S,4/21/2021,251,724,534018,1047364.04,92746,67364,395,161442
S,4/28/2021,269,604,566218,1203138.525,55472,44427,788,137408
S,4/6/2021,4071,12352,978043,926167.6502,116779,32428,16244,150606
S,4/13/2021,4409,10927,1450227,898363.9844,232776,33484,14569,153121
S,4/20/2021,7798,12591,1429855,976132.6626,319706,26758,19584,178280
S,4/27/2021,10224,9221,1151823,1134010.765,295206,28969,18202,174211
T,4/7/2021,568,766,33311,157737.9974,38993,5102,149,18440
T,4/14/2021,214,518,51745,191215.3746,23349,4074,35,26692
T,4/21/2021,851,530,51113,155674.1291,14201,4891,86,22972
T,4/28/2021,671,162,56666,178299.4841,9227,3761,966,25081
T,4/6/2021,215,2938,118076,137246.0728,20078,3145,3399,26634
T,4/13/2021,272,2938,146505,133507.874,30929,4473,2841,23339
T,4/20/2021,646,2683,147572,144931.1683,46025,2908,3032,25661
T,4/27/2021,1061,2168,126865,168577.9455,37822,3097,3432,33271
U,4/7/2021,392,166,230717,400616.6595,90016,13585,381,53861
U,4/14/2021,386,376,393127,485658.8447,57606,12427,527,63470
U,4/21/2021,104,8,387054,394007.4069,39958,17552,982,82618
U,4/28/2021,116,810,410985,453086.2626,23669,12340,396,54583
U,4/6/2021,2266,8364,710485,348508.2443,47052,11849,10130,69405
U,4/13/2021,2917,7640,1008929,338005.4533,86246,10650,10374,55460
U,4/20/2021,4695,8113,957408,367176.2417,130934,10733,12688,94338
U,4/27/2021,6368,6709,752944,426431.83,124738,10769,12756,76318
V,4/7/2021,705,256,490531,1379114.283,301985,34892,526,146004
V,4/14/2021,353,622,783034,1669860.828,165990,36015,370,190617
V,4/21/2021,6,747,778856,1356178.677,119849,42880,979,232301
V,4/28/2021,601,304,867753,1557556.076,76164,36006,121,196056
V,4/6/2021,18979,40684,1604513,1199472.95,172505,33055,58202,199125
V,4/13/2021,20697,38092,1872772,1164165.608,260005,33506,57977,182813
V,4/20/2021,34877,39179,1896608,1264704.128,373304,30089,73536,245723
V,4/27/2021,47172,30955,1590059,1468516.504,334145,31285,77599,255120
W,4/7/2021,921,42,83413,596095.1842,84135,18893,871,56556
W,4/14/2021,757,323,143730,721927.4415,48384,21331,621,66096
W,4/21/2021,102,416,143663,586523.0609,34309,24748,787,78435
W,4/28/2021,861,684,147672,674085.0252,22848,17799,628,72205
W,4/6/2021,2254,7715,261513,518560.1854,46051,21105,9759,73391
W,4/13/2021,2752,6802,364130,503057.8842,87639,21067,8662,59361
W,4/20/2021,4990,7704,342991,547100.8189,129767,16698,11299,86467
W,4/27/2021,5517,5508,274195,635159.3649,119313,18681,11010,91444
X,4/7/2021,871,719,127950,453145.5065,72993,8501,919,43233
X,4/14/2021,872,690,189828,548213.3913,41500,8531,109,63838
X,4/21/2021,510,138,175184,444958.1174,26218,9937,669,81363
X,4/28/2021,447,890,205160,511319.4705,19555,7325,729,59673
X,4/6/2021,2961,7671,415978,394049.3844,47344,10699,9906,67330
X,4/13/2021,2804,7387,498996,382586.6819,77727,9640,9439,57629
X,4/20/2021,4502,6764,521296,415326.6673,110827,8997,10302,66127
X,4/27/2021,6058,5902,416520,482122.1449,94090,9794,11063,81906
Y,4/7/2021,361,888,103638,335148.8335,42322,12144,32,38562
Y,4/14/2021,156,871,161927,406099.4418,37151,12138,250,48351
Y,4/21/2021,499,923,141338,329725.6049,23113,12075,408,53090
Y,4/28/2021,422,861,150572,378641.7362,16344,9993,911,41370
Y,4/6/2021,1542,5049,294512,291024.7841,36374,8366,5994,49287
Y,4/13/2021,1901,4868,389799,282585.069,68612,8852,6334,48228
Y,4/20/2021,2473,5055,370856,306738.0543,93852,7254,7091,55709
Y,4/27/2021,2973,3674,293636,356559.752,85198,7677,5560,50740
Z,4/7/2021,128,602,312567,1124329.752,140045,27412,428,103628
Z,4/14/2021,271,678,493807,1361447.523,95120,26672,988,114121
Z,4/21/2021,559,959,440780,1105455.72,64488,34272,251,147938
Z,4/28/2021,457,905,486736,1269600.141,41602,24282,775,121363
Z,4/6/2021,4105,17511,921187,977966.7327,104824,26062,21812,112703
Z,4/13/2021,4846,16397,1188833,948523.6127,181461,26461,21248,110033
Z,4/20/2021,7705,16774,1137165,1031123.116,265328,21337,24040,196772
Z,4/27/2021,11171,13883,930256,1197325.292,243338,25270,24445,151547
Z,4/7/2021,999,187,159573,612966.9978,98719,17684,581,54685
Z,4/14/2021,333,775,253201,742172.0634,67081,18669,960,64551
Z,4/21/2021,962,963,251265,602571.3173,44255,23103,258,70056
Z,4/28/2021,684,950,266994,692721.3919,26112,17965,139,77031
Z,4/6/2021,2003,8666,506927,533365.3933,65380,14159,10794,73578
Z,4/13/2021,2501,8047,620729,517477.9072,104872,13415,10091,70892
Z,4/20/2021,4893,9131,604834,562746.4443,168324,11114,13666,84341
Z,4/27/2021,6183,7807,485688,653055.262,157997,12237,13323,81651
